id,tested_positive
254,12.322862
255,9.535828
256,5.6391797
257,19.545486
258,14.518311
259,5.02814
260,13.1973095
261,2.3065617
262,5.3992805
263,21.701366
264,14.976437
265,5.467158
266,25.036688
267,26.267303
268,6.6110063
269,12.0833235
270,14.106128
271,7.204161
272,20.017088
273,10.291331
274,7.62546
275,16.832748
276,20.142023
277,8.391053
278,14.975163
279,17.324314
280,21.336378
281,20.213675
282,17.846062
283,25.359367
284,17.60682
285,21.494251
286,21.977238
287,29.053368
288,5.07163
289,19.558004
290,12.591693
291,17.533392
292,3.0289853
293,3.4015496
294,22.533474
295,15.058011
296,5.069018
297,23.037899
298,11.053589
299,10.404148
300,12.2057295
301,21.69661
302,9.809692
303,19.370129
304,12.680192
305,18.24541
306,21.576754
307,29.772049
308,12.927709
309,11.406976
310,10.463083
311,23.882
312,8.836277
313,24.068007
314,18.651398
315,15.768345
316,28.766527
317,18.557285
318,18.795658
319,16.238438
320,2.86191
321,6.055492
322,25.883543
323,19.18124
324,7.41089
325,19.36097
326,2.901706
327,24.698635
328,18.805382
329,24.605253
330,9.352558
331,24.996084
332,12.681487
333,4.969186
334,12.35577
335,12.675011
336,24.419186
337,8.762313
338,9.972124
339,22.638783
340,13.933239
341,8.676587
342,21.166365
343,15.179441
344,3.969402
345,18.73741
346,28.3507
347,22.61316
348,19.137272
349,17.696362
350,8.2659645
351,23.307976
352,17.362404
353,14.260531
354,5.909336
355,18.040169
356,22.901354
357,17.883165
358,23.704565
359,15.110035
360,5.5443335
361,19.65978
362,8.824287
363,13.715083
364,18.719456
365,33.97615
366,15.961797
367,15.345581
368,6.157464
369,14.148832
370,16.413141
371,16.132568
372,17.68879
373,10.988155
374,3.2766004
375,13.410312
376,8.283916
377,9.513889
378,16.107006
379,19.898367
380,26.681374
381,14.975904
382,10.235679
383,21.616177
384,3.863391
385,14.875393
386,16.279556
387,16.78091
388,14.81792
389,16.029144
390,30.879507
391,11.6796
392,29.027683
393,17.670229
394,7.807856
395,14.944295
396,29.485144
397,19.41714
398,22.863552
399,12.907435
400,15.075514
401,18.86984
402,6.6707525
403,30.97955
404,32.757442
405,11.430951
406,8.927926
407,24.521946
408,12.5863
409,17.388706
410,19.078144
411,6.5976768
412,24.863102
413,12.474591
414,8.5712595
415,18.326523
416,20.377075
417,25.434204
418,25.889565
419,9.878767
420,16.8972
421,3.5290155
422,8.057886
423,11.43261
424,20.841824
425,13.875692
426,17.751833
427,8.665777
428,32.996223
429,22.616922
430,10.646082
431,19.440786
432,16.317268
433,13.881179
434,6.869594
435,22.052235
436,34.022457
437,13.216657
438,3.445063
439,2.9322789
440,7.09249
441,5.034737
442,21.045265
443,19.455017
444,18.751514
445,3.3623526
446,3.2550728
447,14.24736
448,24.23727
449,24.422535
450,15.371537
451,8.536013
452,27.950096
453,14.0346985
454,12.155556
455,9.787943
456,24.218048
457,17.592663
458,20.581509
459,5.2152786
460,21.81511
461,8.948106
462,14.860474
463,15.707724
464,6.8831415
465,9.886264
466,8.489451
467,7.5499773
468,10.79785
469,23.99498
470,17.905544
471,11.740909
472,23.56216
473,10.0415945
474,14.178123
475,6.423671
476,13.096756
477,19.589375
478,22.74205
479,23.537836
480,23.476109
481,20.447033
482,27.708202
483,21.12473
484,27.73684
485,3.63221
486,19.121292
487,16.959244
488,23.395414
489,8.269926
490,12.882922
491,21.414635
492,18.516829
493,13.966845
494,16.281109
495,15.762314
496,15.021095
497,4.541692
498,3.6256468
499,11.980454
500,14.201118
501,4.7849684
502,19.82419
503,11.479895
504,23.41182
505,25.555212
506,22.29163
507,10.373618
508,9.31336
509,17.290462
510,17.67104
511,14.26766
512,19.157843
513,9.474488
514,24.908737
515,14.11207
516,13.358322
517,13.89017
518,13.924727
519,28.305332
520,26.04367
521,16.466976
522,18.301662
523,23.46399
524,11.542163
525,31.774378
526,4.3904667
527,16.893196
528,15.2948265
529,8.878626
530,16.909195
531,10.594071
532,12.148352
533,12.806705
534,22.504505
535,3.988333
536,25.882217
537,9.355452
538,24.01132
539,14.761794
540,41.19403
541,13.251099
542,19.687334
543,4.597959
544,9.864529
545,9.455606
546,5.786506
547,25.965466
548,20.871435
549,13.123505
550,12.361913
551,6.212007
552,20.198748
553,26.631302
554,21.424797
555,5.318451
556,14.047573
557,15.89929
558,25.561882
559,18.521383
560,10.609355
561,11.647457
562,22.952635
563,18.957546
564,23.789005
565,10.53774
566,22.31553
567,26.181122
568,4.6306047
569,26.440083
570,13.221052
571,16.95425
572,28.67571
573,23.52665
574,3.6666148
575,19.023829
576,25.157898
577,34.394238
578,18.664778
579,20.569466
580,11.430433
581,8.475283
582,12.263384
583,8.215422
584,16.661072
585,8.968239
586,32.87247
587,12.2012615
588,5.6951733
589,10.585197
590,11.596131
591,23.64185
592,20.772943
593,31.87733
594,29.633974
595,31.59261
596,9.765337
597,12.539937
598,23.524458
599,24.871307
600,6.7043056
601,8.963212
602,16.770504
603,18.80321
604,19.230818
605,22.45948
606,17.497158
607,29.214745
608,14.619112
609,23.386513
610,5.559906
611,15.991688
612,9.394722
613,28.27911
614,24.216066
615,9.826459
616,23.609755
617,12.858658
618,19.291023
619,9.6820965
620,6.702515
621,15.026418
622,9.740708
623,23.941656
624,11.436611
625,26.14067
626,14.59142
627,16.432043
628,18.689503
629,9.446205
630,29.36087
631,18.440891
632,29.444569
633,25.465801
634,20.124954
635,10.699789
636,17.462116
637,11.31885
638,19.194
639,20.041794
640,9.196415
641,10.646732
642,26.067856
643,32.438522
644,22.762463
645,28.554771
646,6.4087596
647,25.27863
648,3.341746
649,12.743715
650,14.532274
651,17.121422
652,11.227154
653,12.554319
654,15.237017
655,15.038091
656,13.501757
657,30.673424
658,12.263676
659,3.7069492
660,28.334032
661,26.24234
662,8.070808
663,10.249461
664,9.9286585
665,5.145146
666,24.446577
667,9.404269
668,21.710142
669,22.64643
670,11.632428
671,5.657913
672,7.125272
673,15.723709
674,3.1889193
675,14.021959
676,22.277542
677,25.705551
678,17.294075
679,11.006873
680,15.280777
681,11.051107
682,16.420998
683,20.31182
684,3.3649292
685,28.245708
686,18.36095
687,13.771989
688,5.4792404
689,12.058709
690,18.093891
691,7.893447
692,14.594484
693,1.7033595
694,2.9661877
695,10.014684
696,22.124077
697,30.892017
698,28.6664
699,4.863075
700,6.418657
701,1.6487176
702,19.211311
703,17.811888
704,28.892986
705,5.97776
706,17.642359
707,4.507713
708,11.175352
709,12.8319235
710,20.73542
711,8.4171095
712,24.134838
713,10.273625
714,4.3566236
715,3.00968
716,9.219934
717,21.248323
718,12.284351
719,21.88278
720,7.375409
721,3.9427376
722,20.293526
723,25.268559
724,7.203929
725,19.052357
726,3.0330133
727,12.683404
728,6.171879
729,17.232567
730,7.5956755
731,7.397847
732,21.839964
733,6.606286
734,21.48871
735,15.534859
736,5.3702283
737,21.682444
738,6.1880603
739,24.626245
740,17.68876
741,17.278713
742,10.767437
743,24.827614
744,14.203273
745,13.240726
746,27.741907
747,29.263494
748,16.539827
749,7.551985
750,6.9781513
751,23.98633
752,5.9239283
753,10.710335
754,20.049015
755,20.52892
756,19.947247
757,17.074078
758,11.18466
759,9.410514
760,15.11522
761,9.64809
762,5.094597
763,25.081041
764,30.500011
765,22.289856
766,20.193644
767,7.6694508
768,12.747864
769,13.711121
770,17.278992
771,11.732237
772,25.092218
773,18.311935
774,4.638995
775,10.541679
776,22.330479
777,21.523941
778,17.648775
779,12.754891
780,22.662403
781,31.470333
782,16.600994
783,20.260324
784,9.736147
785,5.3031793
786,5.9861126
787,20.68575
788,22.741062
789,14.685295
790,19.917286
791,7.2073402
792,12.802588
793,14.894048
794,10.040703
795,19.773159
796,13.090897
797,12.542274
798,6.7098
799,16.028177
800,12.770393
801,11.055101
802,8.678114
803,11.62447
804,13.04261
805,21.731241
806,10.7991
807,20.045282
808,21.067701
809,28.339108
810,13.060465
811,18.303043
812,14.26314
813,16.80093
814,7.9059224
815,3.0059383
816,5.6327424
817,15.493367
818,30.133322
819,7.335822
820,23.745567
821,15.437271
822,15.556561
823,18.958302
824,24.12783
825,3.9162471
826,9.139112
827,19.836405
828,21.036602
829,15.634596
830,17.838177
831,2.380891
832,12.779343
833,11.681958
834,13.435469
835,28.688204
836,12.58368
837,17.670654
838,21.68641
839,18.464325
840,19.479095
841,37.25361
842,32.571144
843,18.317743
844,19.251432
845,6.5412397
846,13.478249
847,16.761202
848,8.170546
849,12.875573
850,5.0118327
851,5.3214464
852,5.913725
853,9.124543
854,6.1954536
855,23.493265
856,22.693588
857,20.266468
858,6.6603994
859,13.547877
860,20.345316
861,20.301697
862,22.543787
863,22.059797
864,12.862085
865,6.2764773
866,8.363634
867,9.153191
868,24.115559
869,24.380985
870,7.80196
871,11.023284
872,14.363962
873,32.859623
874,28.29448
875,17.873493
876,18.639574
877,11.152635
878,18.502808
879,16.857328
880,7.238101
881,12.629649
882,8.986359
883,12.917163
884,27.369463
885,15.0625305
886,30.79985
887,18.73719
888,13.303501
889,4.099778
890,31.39991
891,25.775131
892,18.042747
